ENUM_VALUE,NAMESPACE,ID_ENUM_DATA
indonesia,global/countryname,113
inmarsat - east atlantic ocean,global/countryname,114
inmarsat - indian ocean,global/countryname,115
inmarsat - pacific ocean,global/countryname,116
inmarsat - west atlantic ocean,global/countryname,117
iran,global/countryname,118
iraq,global/countryname,119
ireland,global/countryname,120
israel,global/countryname,121
italy,global/countryname,122
ivory coast,global/countryname,123
jamaica,global/countryname,124
japan,global/countryname,125
jordan,global/countryname,126
kazakhstan,global/countryname,127
kenya,global/countryname,128
kiribati,global/countryname,129
kuwait,global/countryname,130
kyrgyzstan,global/countryname,131
laos,global/countryname,132
latvia,global/countryname,133
lebanon,global/countryname,134
lesotho,global/countryname,135
liberia,global/countryname,136
libya,global/countryname,137
liechtenstein,global/countryname,138
lithuania,global/countryname,139
luxembourg,global/countryname,140
macau,global/countryname,141
macedonia,global/countryname,142
madagascar,global/countryname,143
malawi,global/countryname,144
malaysia,global/countryname,145
maldives,global/countryname,146
mali republic,global/countryname,147
malta,global/countryname,148
marshall islands,global/countryname,149
mauritania,global/countryname,150
mauritius,global/countryname,151
mayotte island,global/countryname,152
mexico,global/countryname,153
micronesia,global/countryname,154
moldova,global/countryname,155
monaco,global/countryname,156
mongolia,global/countryname,157
montserrat,global/countryname,158
morocco,global/countryname,159
mozambique,global/countryname,160
myanmar,global/countryname,161
namibia,global/countryname,162
nauru,global/countryname,163
nepal,global/countryname,164
netherlands,global/countryname,165
netherlands antilles,global/countryname,166
nevis,global/countryname,167
new caledonia,global/countryname,168
new zealand,global/countryname,169
nicaragua,global/countryname,170
niger republic,global/countryname,171
nigeria,global/countryname,172
niue,global/countryname,173
norfolk island,global/countryname,174
north korea,global/countryname,175
norway,global/countryname,176
oman,global/countryname,177
pakistan,global/countryname,178
palau,global/countryname,179
palestine,global/countryname,180
panama,global/countryname,181
papua new guinea,global/countryname,182
paraguay,global/countryname,183
peru,global/countryname,184
philippines,global/countryname,185
poland,global/countryname,186
portugal,global/countryname,187
puerto rico,global/countryname,188
qatar,global/countryname,189
reunion island,global/countryname,190
romania,global/countryname,191
russia,global/countryname,192
rwanda,global/countryname,193
saipan,global/countryname,194
san marino,global/countryname,195
sao tome,global/countryname,196
saudi arabia,global/countryname,197
senegal republic,global/countryname,198
montenegro,global/countryname/serbia,199
seychelles islands,global/countryname,200
sierra leone,global/countryname,201
singapore,global/countryname,202
slovakia,global/countryname,203
slovenia,global/countryname,204
solomon islands,global/countryname,205
somalia,global/countryname,206
south africa,global/countryname,207
south korea,global/countryname,208
spain,global/countryname,209
sri lanka,global/countryname,210
st helena,global/countryname,211
nevis,global/countryname/st. kitts,212
st. lucia,global/countryname,213
miquelon,global/countryname/st. pierre,214
grenadines,global/countryname/st. vincent,215
sudan,global/countryname,216
suriname,global/countryname,217
swaziland,global/countryname,218
sweden,global/countryname,219
switzerland,global/countryname,220
(gmt+09:30) darwin,global/timezoneid,308
(gmt+10:00) brisbane,global/timezoneid,309
"(gmt+10:00) guam, port moresby, vladivostok",global/timezoneid,310
(gmt+10:00) hobart,global/timezoneid,311
"(gmt+10:00) sydney, melbourne",global/timezoneid,312
"(gmt+11:00) magadan, solomon is., new caledonia",global/timezoneid,313
"(gmt+12:00) fiji, kamchatka, marshall is.",global/timezoneid,314
"(gmt+12:00) wellington, auckland",global/timezoneid,315
"(gmt-01:00) azores, cape verde is.",global/timezoneid,316
"(gmt-03:00) buenos aires, georgetown",global/timezoneid,317
(gmt-03:30) newfoundland,global/timezoneid,318
(gmt-04:00) atlantic time (canada),global/timezoneid,319
"(gmt-04:00) caracas, la paz",global/timezoneid,320
"(gmt-05:00) bogota, lima",global/timezoneid,321
(gmt-05:00) eastern time (us & canada),global/timezoneid,322
(gmt-05:00) indiana (east),global/timezoneid,323
(gmt-06:00) central time (us & canada),global/timezoneid,324
"(gmt-06:00) mexico city, tegucigalpa",global/timezoneid,325
(gmt-06:00) saskatchewan,global/timezoneid,326
(gmt-07:00) arizona,global/timezoneid,327
(gmt-07:00) mountain time (us & canada),global/timezoneid,328
"(gmt-08:00) pacific time (us & canada), tijuana",global/timezoneid,329
(gmt-09:00) alaska,global/timezoneid,330
(gmt-10:00) hawaii,global/timezoneid,331
"(gmt-11:00) midway island, samoa",global/timezoneid,332
"(gmt-12:00) eniwetok, kwajalein",global/timezoneid,333
128kb,intercall.com/confcommon/billcode,334
256kb,intercall.com/confcommon/billcode,335
384kb,intercall.com/confcommon/billcode,336
512kb,intercall.com/confcommon/billcode,337
8,intercall.com/confcommon/billcode,338
a,intercall.com/confcommon/billcode,339
a8,intercall.com/confcommon/billcode,340
ai,intercall.com/confcommon/billcode,341
awm,intercall.com/confcommon/billcode,342
d,intercall.com/confcommon/billcode,343
d8,intercall.com/confcommon/billcode,344
e,intercall.com/confcommon/billcode,345
e8,intercall.com/confcommon/billcode,346
g,intercall.com/confcommon/billcode,347
g8,intercall.com/confcommon/billcode,348
i,intercall.com/confcommon/billcode,349
io,intercall.com/confcommon/billcode,350
itl,intercall.com/confcommon/billcode,351
iwm,intercall.com/confcommon/billcode,352
iws,intercall.com/confcommon/billcode,353
l,intercall.com/confcommon/billcode,354
p,intercall.com/confcommon/billcode,355
p8,intercall.com/confcommon/billcode,356
