NM_ACCOUNT_VIEW,NM_NAME,B_REQUIRED,N_PROP_TYPE,NM_SPACE,NM_ENUM
metratech.com/internal,InvoiceMethod,N,8,metratech.com/accountcreation,InvoiceMethod
metratech.com/internal,Language,N,8,Global,LanguageCode
metratech.com/internal,TimezoneID,N,8,Global,TimeZoneID
metratech.com/internal,PriceList,N,2,,
metratech.com/internal,Folder,N,9,,
metratech.com/internal,StatusReason,N,8,metratech.com/accountcreation,StatusReason
metratech.com/internal,Billable,N,9,,
metratech.com/internal,TaxExempt,N,9,,
metratech.com/internal,PaymentMethod,N,8,metratech.com/accountcreation,PaymentMethod
metratech.com/internal,SecurityQuestion,N,8,metratech.com/accountcreation,SecurityQuestion
metratech.com/internal,StatusReasonOther,N,0,,
metratech.com/internal,Currency,N,0,,
metratech.com/internal,UsageCycleType,N,8,metratech.com/BillingCycle,UsageCycleType
metratech.com/internal,TaxExemptID,N,0,,
metratech.com/internal,SecurityAnswer,N,0,,
metratech.com/contact,u_Zip,N,0, , 
metratech.com/contact,u_Address3,N,0, , 
metratech.com/contact,u_Address2,N,0, , 
metratech.com/contact,u_Address1,N,0, , 
metratech.com/contact,u_Country,N,0, , 
metratech.com/contact,u_LastName,N,0, , 
metratech.com/contact,u_FirstName,N,0, , 
metratech.com/contact,u_State,N,0, , 
metratech.com/contact,u_City,N,0, , 
metratech.com/contact,u_MiddleInitial,N,0, , 
metratech.com/contact,NamePrefix,N,0,,
metratech.com/contact,ZipExt,N,0,,
metratech.com/contact,Email,N,0,,
metratech.com/contact,State,N,0,,
metratech.com/contact,PhoneNumber,N,0,,
metratech.com/contact,Zip,N,0,,
metratech.com/contact,PhoneNumber2,N,0,,
metratech.com/contact,Address1,N,0,,
metratech.com/contact,Address2,N,0,,
metratech.com/contact,Address3,N,0,,
metratech.com/contact,City,N,0,,
metratech.com/contact,MiddleInitial,N,0,,
metratech.com/contact,FirstName,N,0,,
metratech.com/contact,Company,N,0,,
