NM_SERVICE_DEF,NM_NAME,B_REQUIRED,N_PROP_TYPE,NM_SPACE,NM_ENUM
metratech.com/AccountCreation,Zip,N,0,,
metratech.com/AccountCreation,Payment_StartDate,N,3,,
metratech.com/AccountCreation,UserName,N,0,,
metratech.com/AccountCreation,AccountStatus,N,8,metratech.com/accountcreation,AccountStatus
metratech.com/AccountCreation,TimeZoneOffset,N,7,,
metratech.com/AccountCreation,AccountStartDate,N,3,,
metratech.com/AccountCreation,Operation,Y,8,metratech.com,operation
metratech.com/AccountCreation,PayerAccount,N,0,,
metratech.com/AccountCreation,CCardNumberL4D,N,0,,
metratech.com/AccountCreation,_AccountID,N,2,,
metratech.com/AccountCreation,Password_,N,0,,
metratech.com/AccountCreation,DayOfMonth,N,2,,
metratech.com/AccountCreation,MiddleInitial,N,0,,
metratech.com/AccountCreation,TimeZoneID,N,8,Global,TimeZoneID
metratech.com/AccountCreation,PaymentMethod,N,8,metratech.com/accountcreation,PaymentMethod
metratech.com/AccountCreation,StatusReason,N,8,metratech.com/accountcreation,StatusReason
metratech.com/AccountCreation,AncestorAccountNS,N,0,,
metratech.com/AccountCreation,Payment_EndDate,N,3,,
metratech.com/AccountCreation,Name_Space,N,0,,
metratech.com/AccountCreation,InvoiceMethod,N,8,metratech.com/accountcreation,InvoiceMethod
metratech.com/BusinessUnit,AccountStartDate,N,3,,
metratech.com/BusinessUnit,RPT_ISO_Currency,N,0,,
metratech.com/BusinessUnit,AreaKey,Y,0,,
metratech.com/BusinessUnit,Password_,Y,0,,
metratech.com/BusinessUnit,BU_Code,Y,0,,
metratech.com/BusinessUnit,Area,Y,0,,
metratech.com/BusinessUnit,BU_Description,Y,0,,
metratech.com/Company,UsageStatus,N,0,,
metratech.com/Company,VAT_Tax,N,0,,
metratech.com/Company,NoShowLeg,N,2,,
metratech.com/Company,AncestorArea,Y,0,,
metratech.com/Company,Password_,N,0,,
metratech.com/Company,SplitID,N,2,,
metratech.com/Company,Area,Y,0,,
metratech.com/Company,UsageCycleType,N,8,metratech.com/BillingCycle,UsageCycleType
metratech.com/Company,Name_Space,N,0,,
metratech.com/Company,Currency,N,0,,
metratech.com/Company,TransactionCookie,N,0,,
metratech.com/Company,NoShowBuf,N,2,,
metratech.com/Company,TruncateOldSubscriptions,N,9,,
metratech.com/Company,CompanyName,N,0,,
metratech.com/Company,RateCurrency,N,0,,
metratech.com/Company,PaymentStatus,N,8,metratech.com/accountcreation,PaymentStatus
metratech.com/Company,AncestorAreaKey,Y,0,,
metratech.com/Company,Pricelist,N,0,,
metratech.com/Company,InvoiceCurrency,N,0,,
metratech.com/Company,ApplyDefaultSecurityPolicy,N,9,,
metratech.com/Company,ApplyAccountTemplate,N,9,,
metratech.com/Company,DayOfMonth,N,2,,
metratech.com/Company,FORCECC,N,9,,
metratech.com/Company,Terminated,N,9,,
metratech.com/Company,Language,N,8,Global,LanguageCode
metratech.com/Company,UserName,N,0,,
metratech.com/Company,Deleted,N,9,,
metratech.com/Company,CompanySalesStatus,N,0,,
metratech.com/Company,ECC_Label,N,0,,
metratech.com/Company,_AccountID,N,2,,
metratech.com/Company,AreaKey,Y,0,,
metratech.com/Company,AccountStartDate,N,3,,
metratech.com/Company,ResPlusGreeting,N,2,,
metratech.com/CurrencyCascade,_AccountID,Y,2,,
metratech.com/DIVBankInfo,BankAccountNo,Y,0,,
metratech.com/DIVBankInfo,_AccountID,Y,2,,
metratech.com/DIVBankInfo,BankName,Y,0,,
metratech.com/DIVBankInfo,Row_ID,Y,2,,
metratech.com/DIVInvoiceInfo,Email,N,0,,
metratech.com/DIVInvoiceInfo,FacsimileTelephoneNumber,N,0,,
metratech.com/DIVInvoiceInfo,Country,N,0,,
metratech.com/DIVInvoiceInfo,City,N,0,,
metratech.com/DIVInvoiceInfo,Zip,N,0,,
metratech.com/DIVInvoiceInfo,Address,N,0,,
metratech.com/DIVInvoiceInfo,State,N,0,,
metratech.com/DIVInvoiceInfo,TaxID,N,0,,
metratech.com/DIVInvoiceInfo,Company,N,0,,
metratech.com/DIVInvoiceInfo,InvoiceCode,Y,0,,
metratech.com/DIVInvoiceInfo,_AccountID,Y,2,,
