ENUM_VALUE,NAMESPACE,ID_ENUM_DATA,EnumDescription,ValueDescription
Expiration,metanga/EndReasonType,,"
             Represents a reason of why a subscription is ended.
            ","
             If end reason of a subscription is set to Expiration, it means that the subscription has expired.
            "
Renewal,metanga/EndReasonType,,"
             Represents a reason of why a subscription is ended.
            ","
             If end reason of a subscription is set to Renewal, it means that the subscription has been renewed.
             Renewal implies unsubscribing from the current subscription and creating new one subscription for the same package.Note: This option is not supported by Metanga in current release and will be supported going forward."
Conversion,metanga/EndReasonType,,"
             Represents a reason of why a subscription is ended.
            ","
             If end reason of a subscription is set to Conversion, it means that the subscription has been converted.
             Conversion implies unsubscribing from the current subscription and creating new one subscription for a different package.Note: This option is not supported by Metanga in current release and will be supported going forward."
Unsubscription,metanga/EndReasonType,,"
             Represents a reason of why a subscription is ended.
            ","
             If end reason of a subscription is set to Unsubscription, it means that the subscription has been unsubscribed.
            "
Termination,metanga/EndReasonType,,"
             Represents a reason of why a subscription is ended.
            ","
             If end reason of a subscription is set to Termination, it means that the subscription has been terminated.
             When susbscription is terminated, Metanga generates appropriate termination fee charges.
             Terminated subscription cannot be edited  further.
            "
Unknown,metanga/CreditCardType,,,
AmericanExpress,metanga/CreditCardType,,,
DinersClub,metanga/CreditCardType,,,
Discover,metanga/CreditCardType,,,
JapanCreditBureau,metanga/CreditCardType,,,
Maestro,metanga/CreditCardType,,,
MasterCard,metanga/CreditCardType,,,
Visa,metanga/CreditCardType,,,
NotDefined,metanga/PaymentInfoStatus,,,
NotRequired,metanga/PaymentInfoStatus,,,
Required,metanga/PaymentInfoStatus,,,
Open,metanga/InvoiceState,,"
            Invoice State
            ","
            open state
            "
Closed,metanga/InvoiceState,,"
            Invoice State
            ","
            Close state
            "
Create,metanga/EventType,,"
            Represents types of events, which can occur with entities in Metanga.
            ","
            Create event, occurs when an entity is created.
            "
Update,metanga/EventType,,"
            Represents types of events, which can occur with entities in Metanga.
            ","
            Update event, occurs when an entity is updated.
            "
Delete,metanga/EventType,,"
            Represents types of events, which can occur with entities in Metanga.
            ","
            Delete event, occurs when an entity is deleted.
            "
