Level,Function Name,Module Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
0,"MASHostService.exe","",436,0,100.00,0.00,
0,"MetraTech.ActivityServices.Services.Common.ParameterValidationInspector.BeforeCall(string,object[])","MetraTech.ActivityServices.Services.Common.dll",372,0,85.32,0.00,
1,"MetraTech.ActivityServices.Services.Common.ParameterValidationInspector.ScanObject(object,class System.Collections.Generic.List`1<object>&)","MetraTech.ActivityServices.Services.Common.dll",372,0,85.32,0.00,
2,"MetraTech.ActivityServices.Services.Common.ParameterValidationInspector.ScanObject(object,class System.Collections.Generic.List`1<object>&)","MetraTech.ActivityServices.Services.Common.dll",370,0,84.86,0.00,
3,"MetraTech.ActivityServices.Services.Common.ParameterValidationInspector.ScanObject(object,class System.Collections.Generic.List`1<object>&)","MetraTech.ActivityServices.Services.Common.dll",369,0,84.63,0.00,
4,"MetraTech.ActivityServices.Services.Common.ParameterValidationInspector.ScanObject(object,class System.Collections.Generic.List`1<object>&)","MetraTech.ActivityServices.Services.Common.dll",367,0,84.17,0.00,
5,"MetraTech.ActivityServices.Services.Common.ParameterValidationInspector.ScanObject(object,class System.Collections.Generic.List`1<object>&)","MetraTech.ActivityServices.Services.Common.dll",344,0,78.90,0.00,
6,"MetraTech.ActivityServices.Services.Common.ParameterValidationInspector.ScanObject(object,class System.Collections.Generic.List`1<object>&)","MetraTech.ActivityServices.Services.Common.dll",329,0,75.46,0.00,
7,"MetraTech.ActivityServices.Services.Common.ParameterValidationInspector.ScanObject(object,class System.Collections.Generic.List`1<object>&)","MetraTech.ActivityServices.Services.Common.dll",311,0,71.33,0.00,
8,"MetraTech.ActivityServices.Services.Common.ParameterValidationInspector.ScanObject(object,class System.Collections.Generic.List`1<object>&)","MetraTech.ActivityServices.Services.Common.dll",303,0,69.50,0.00,
9,"MetraTech.ActivityServices.Services.Common.ParameterValidationInspector.TryGetValueFromProperty(class System.Reflection.PropertyInfo,object)","MetraTech.ActivityServices.Services.Common.dll",292,0,66.97,0.00,
10,"System.Reflection.RuntimePropertyInfo.GetValue(object,object[])","mscorlib.ni.dll",291,291,66.74,66.74,
0,"MetraTech.ActivityServices.Runtime.CMASUserNameTokenAuthenticator.ValidateUserNamePasswordCore(string,string)","MetraTech.ActivityServices.Runtime.dll",35,0,8.03,0.00,
1,"CMTLoginContext::Login(wchar_t *,wchar_t *,wchar_t *,struct IMTSessionContext * *)","MTAuth.dll",35,0,8.03,0.00,
