c_Report_Id,c__Version,c_CreationDate,c_UpdateDate,c_UID,c_Name,c_Description,c_QueryName,c_URL,c_Category,c_GridLayoutName,c_SubCategory,c_Extension,c_RequiresInput,c_Type,c_ReqdCapability
"1d1b788b-7319-4662-a683-04338fd4fc20","3","2/11/2014 12:00:00 PM","2/28/2014 7:00:16 PM","137","Revenue by Compounded PI Template","","__AMOUNT_SUMMARIZED_BY_COMPOUNDED_PI_TEMPLATE__","","Interval Statistics","AMOUNT_SUMMARIZED_BY_COMPOUNDED_PI_TEMPLATE.xml","Revenue","SystemConfig","F","MetraTech.MetraNet.Reporting/ReportType/IntervalStatistics",""
"1d1b788b-7319-4662-a683-04338fd4fc21","3","2/11/2014 12:00:00 PM","2/28/2014 7:00:03 PM","137","Revenue by Non-Compounded PI Template","","__AMOUNT_SUMMARIZED_BY_NON_COMPOUNDED_PI_TEMPLATE__","","Interval Statistics","AMOUNT_SUMMARIZED_BY_NON_COMPOUNDED_PI_TEMPLATE.xml","Revenue","SystemConfig","F","MetraTech.MetraNet.Reporting/ReportType/IntervalStatistics",""
"1d1b788b-7319-4662-a683-04338fd4fc22","4","2/11/2014 12:00:00 PM","2/28/2014 6:59:51 PM","137","Revenue by PI Template","","__AMOUNT_SUMMARIZED_BY_PI_TEMPLATE__","","Interval Statistics","AMOUNT_SUMMARIZED_BY_PI_TEMPLATE.xml","Revenue","SystemConfig","F","MetraTech.MetraNet.Reporting/ReportType/IntervalStatistics",""
"1d1b788b-7319-4662-a683-04338fd4fc23","3","2/11/2014 12:00:00 PM","2/28/2014 6:59:31 PM","137","Revenue by Currency","","__SUMMARY_AMOUNT_BY_CURRENCY__","","Interval Statistics","SUMMARY_AMOUNT_BY_CURRENCY.xml","Revenue","SystemConfig","F","MetraTech.MetraNet.Reporting/ReportType/IntervalStatistics",""
"1d1b788b-7319-4662-a683-04338fd4fc30","3","2/11/2014 12:00:00 PM","2/28/2014 7:19:21 PM","137","Discount Summary","Total count and revenue impact for discounts","__NUMBER_AND_AMOUNT_OF_DISCOUNTS_GENERATED__","","Interval Statistics","NUMBER_AND_AMOUNT_OF_DISCOUNTS_GENERATED.xml","Discounts","SystemConfig","F","MetraTech.MetraNet.Reporting/ReportType/IntervalStatistics",""
"1d1b788b-7319-4662-a683-04338fd4fc31","2","2/11/2014 12:00:00 PM","2/28/2014 7:06:50 PM","137","Discount Summary by Group Subscription","Total count and revenue impact for discounts, summarized by group subscription","__NUMBER_AND_AMOUNT_OF_DISCOUNTS_GENERATED_BY_GROUP_SUBSCRIPTION__","","Interval Statistics","NUMBER_AND_AMOUNT_OF_DISCOUNTS_GENERATED_BY_GROUP_SUBSCRIPTION.xml","Discounts","SystemConfig","F","MetraTech.MetraNet.Reporting/ReportType/IntervalStatistics",""
"1d1b788b-7319-4662-a683-04338fd4fc32","2","2/11/2014 12:00:00 PM","2/28/2014 7:07:28 PM","137","Invoice Summary","Total count and revenue for invoices","__NUMBER_AND_AMOUNT_OF_INVOICE_GENERATED__","","Interval Statistics","NUMBER_AND_AMOUNT_OF_INVOICE_GENERATED.xml","Invoice","SystemConfig","F","MetraTech.MetraNet.Reporting/ReportType/IntervalStatistics",""
"1d1b788b-7319-4662-a683-04338fd4fc33","2","2/11/2014 12:00:00 PM","2/28/2014 7:10:07 PM","137","Invoice Summary by Currency, Method, and Namespace","Total count and revenue for invoices, summarized by currency, method, and namespace","__NUMBER_AND_AMOUNT_OF_INVOICE_GENERATED_CURRENCY_METHOD_NAMESPACE__","","Interval Statistics","NUMBER_AND_AMOUNT_OF_INVOICE_GENERATED_CURRENCY_METHOD_NAMESPACE.xml","Invoice","SystemConfig","F","MetraTech.MetraNet.Reporting/ReportType/IntervalStatistics",""
"1d1b788b-7319-4662-a683-04338fd4fc34","2","2/11/2014 12:00:00 PM","2/28/2014 7:38:16 PM","137","Invoice Total by Currency, Method and Namespace","","__PER_INVOICE_TOTAL_GENERATED_CURRENCY_METHOD_NAMESPACE__","","Interval Statistics","PER_INVOICE_TOTAL_GENERATED_CURRENCY_METHOD_NAMESPACE.xml","Invoice","SystemConfig","F","MetraTech.MetraNet.Reporting/ReportType/IntervalStatistics",""
"1d1b788b-7319-4662-a683-04338fd4fc35","2","2/11/2014 12:00:00 PM","2/28/2014 7:06:28 PM","137","Non-Recurring Charges by PI Template and Reason for Generation","","__NRC_GENERATED_BY_PI_TEMPLATE_REASON__","","Interval Statistics","NRC_GENERATED_BY_PI_TEMPLATE_REASON.xml","Non-Recurring Charges","SystemConfig","F","MetraTech.MetraNet.Reporting/ReportType/IntervalStatistics",""
